symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc
ZMAT4,79698.0,zinc finger matrin-type 4,0.292,0.611877,0.607762,1.05304,13.87,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
GBGT1,26301.0,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)",0.292,0.611877,-0.224648,-1.05299,108.27,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF585B,92285.0,zinc finger protein 585B,0.292,0.611877,0.305227,1.05286,89.13,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CCDC120,90060.0,coiled-coil domain containing 120,0.292,0.611877,-0.297037,-1.05287,19.08,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PRDM4-AS1,101929162.0,PRDM4 antisense RNA 1,0.293,0.611967,-0.191978,-1.0526,74.83,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DHRS4,10901.0,dehydrogenase/reductase 4,0.293,0.611967,0.217807,1.05261,673.71,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC101930071,101930071.0,uncharacterized LOC101930071,0.293,0.612073,0.360652,1.05241,18.1,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
EMSY,56946.0,"EMSY transcriptional repressor, BRCA2 interacting",0.293,0.612105,-0.158915,-1.05229,219.07,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
RECQL,5965.0,RecQ like helicase,0.293,0.612173,0.204082,1.05213,631.88,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CTBS,1486.0,chitobiase,0.293,0.612195,-0.182495,-1.0519,458.1,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TRAK2,66008.0,trafficking kinesin protein 2,0.293,0.612195,-0.113725,-1.05186,566.75,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DERL2,51009.0,derlin 2,0.293,0.612195,-0.200738,-1.05188,656.06,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
STIMATE,375346.0,STIM activating enhancer,0.293,0.61233,-0.160137,-1.05142,465.31,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SNX16,64089.0,sorting nexin 16,0.293,0.61233,-0.275467,-1.05163,48.72,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SNRPB2,6629.0,small nuclear ribonucleoprotein polypeptide B2,0.293,0.61233,-0.210408,-1.05139,442.71,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TASL,80231.0,TLR adaptor interacting with endolysosomal SLC15A4,0.293,0.61233,0.295343,1.0514,361.5,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CLIC5,53405.0,chloride intracellular channel 5,0.293,0.612462,0.289728,1.05116,40.45,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CD207,50489.0,CD207 molecule,0.293,0.612593,-0.484786,-1.05094,11.07,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF503,84858.0,zinc finger protein 503,0.293,0.612641,-0.555802,-1.05081,10.47,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ATP13A2,23400.0,ATPase cation transporting 13A2,0.293,0.612703,0.152909,1.05051,2190.76,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SH3BP5-AS1,100505696.0,SH3BP5 antisense RNA 1,0.293,0.612703,0.16243,1.05061,807.2,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
C4orf48,401115.0,chromosome 4 open reading frame 48,0.293,0.612703,0.271477,1.0505,119.29,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TMEM220-AS1,101101775.0,TMEM220 antisense RNA 1,0.294,0.612703,-0.334795,-1.05033,15.95,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ACAA2,10449.0,acetyl-CoA acyltransferase 2,0.294,0.612703,0.145452,1.05039,1896.11,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
AIMP1,9255.0,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,0.294,0.612783,-0.128278,-1.05016,631.69,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
NRIP2,83714.0,nuclear receptor interacting protein 2,0.294,0.612806,0.214288,1.05005,46.22,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LINC01232,102725509.0,long intergenic non-protein coding RNA 1232,0.294,0.612824,0.372951,1.04995,16.36,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DDX50,79009.0,DExD-box helicase 50,0.294,0.612995,-0.135137,-1.04969,617.35,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PLCB2,5330.0,phospholipase C beta 2,0.294,0.613222,0.195784,1.04937,3340.71,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MORC3,23515.0,MORC family CW-type zinc finger 3,0.294,0.613252,-0.187897,-1.04918,659.75,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
GNB1L,54584.0,G protein subunit beta 1 like,0.294,0.613252,0.227736,1.04917,259.43,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF677,342926.0,zinc finger protein 677,0.294,0.613298,0.294358,1.04904,40.62,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SURF6,6838.0,surfeit 6,0.294,0.613571,0.156569,1.04867,569.94,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CAMTA1,23261.0,calmodulin binding transcription activator 1,0.294,0.613572,0.225001,1.04859,385.53,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
EDEM1,9695.0,ER degradation enhancing alpha-mannosidase like protein 1,0.294,0.613583,-0.248871,-1.04849,504.69,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IL10RA,3587.0,interleukin 10 receptor subunit alpha,0.295,0.613712,0.13609,1.04791,9545.97,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF202,7753.0,zinc finger protein 202,0.295,0.613712,0.166591,1.04769,273.79,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MVP,9961.0,major vault protein,0.295,0.613712,0.172157,1.04824,9759.5,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ATMIN,23300.0,ATM interactor,0.295,0.613712,-0.120818,-1.04787,1100.8,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF709,163051.0,zinc finger protein 709,0.295,0.613712,-0.41665,-1.04773,31.88,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ADARB1,104.0,adenosine deaminase RNA specific B1,0.295,0.613712,-0.154651,-1.04812,345.1,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IGLV3-19,28797.0,immunoglobulin lambda variable 3-19,0.295,0.613712,0.597342,1.04762,614.61,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
FAM118A,55007.0,family with sequence similarity 118 member A,0.295,0.613712,0.454889,1.04761,1372.69,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SOWAHD,347454.0,sosondowah ankyrin repeat domain family member D,0.295,0.613712,0.510845,1.04782,153.86,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PTK2,5747.0,protein tyrosine kinase 2,0.295,0.613794,0.236327,1.04741,200.05,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
KDM4B,23030.0,lysine demethylase 4B,0.295,0.613794,-0.291732,-1.04736,938.5,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC105378980,105378980.0,uncharacterized LOC105378980,0.295,0.613887,-0.241262,-1.04694,56.58,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PTEN,5728.0,phosphatase and tensin homolog,0.295,0.613887,-0.13703,-1.04685,1054.59,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DEPDC7,91614.0,DEP domain containing 7,0.295,0.613887,-0.443314,-1.04686,24.29,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
FXYD6-FXYD2,100533181.0,FXYD6-FXYD2 readthrough,0.295,0.613887,-0.266299,-1.04696,59.98,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DNAJC3-DT,100289274.0,DNAJC3 divergent transcript,0.295,0.613887,0.437683,1.0471,24.59,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IGHV3-74,28408.0,immunoglobulin heavy variable 3-74,0.295,0.614412,0.351787,1.04621,341.66,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TPRG1L,127262.0,tumor protein p63 regulated 1 like,0.296,0.614461,-0.11724,-1.04607,446.79,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
KLHDC7B,113730.0,kelch domain containing 7B,0.296,0.614461,0.286342,1.046,128.32,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
UTP3,57050.0,UTP3 small subunit processome component,0.296,0.615076,0.153586,1.04502,150.57,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
NDUFA4,4697.0,NDUFA4 mitochondrial complex associated,0.296,0.615076,-0.168479,-1.04523,1891.44,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
